ExecutionId,CycleName,FolderName,"Issue Key","Test Summary",Project,Component,Version,Priority,"Executed By","Executed On",ExecutionStatus,ExecutionDefects,CreationDate,"Assigned To","Custom Fields","Work Flow Status","Total Execution Time","Total Logged Time",StepId,OrderId,Step,"Test Data","Expected Result","Step Result",Comments,"Step Custom Fields"
05b59107-395f-4e35-b7a1-b3dd36fc2d37,PM-8,,PM-24,"Verify the ability to sort alphabetically in the Promotii section","Pavelina Mutu",,Test1,Medium,"IT Factory","23/Sep/23 12:01 AM",PASS,,"20/Sep/23 11:43 PM",,,,,,21020303-34b8-4623-926f-718ab327facb,1,"The user is logged on the website following the steps from test PM-17 and he clicks on Promotii section",,"The Promotii section can be accessed and a drop-down list appears like in the screenshot attached",PASS,,
05b59107-395f-4e35-b7a1-b3dd36fc2d37,PM-8,,PM-24,"Verify the ability to sort alphabetically in the Promotii section","Pavelina Mutu",,Test1,Medium,"IT Factory","23/Sep/23 12:01 AM",PASS,,"20/Sep/23 11:43 PM",,,,,,dc60f5b8-3ed0-431d-8950-5c0b6d317ac7,2,"In the drop-down section, select Promotii la parfumuri",,"The page Promoții - Parfumuri appears as in the attached screenshot",PASS,,
05b59107-395f-4e35-b7a1-b3dd36fc2d37,PM-8,,PM-24,"Verify the ability to sort alphabetically in the Promotii section","Pavelina Mutu",,Test1,Medium,"IT Factory","23/Sep/23 12:01 AM",PASS,,"20/Sep/23 11:43 PM",,,,,,3adaa490-da84-41a3-877f-d3687643b9e6,3,"Under Promoții - Parfumuri click on Recomandat and from the drop-down list select Alfabetic",,"Alfabetic can be selected and the products are sorted alphabetically A-Z",PASS,,
07e5b500-9d01-429f-9e41-7d27a9181e11,PM-8,,PM-22,"Verify that the Promoții section is accessible and user-friendly for individuals with disabilities or those using assistive technologies - Screen Reader","Pavelina Mutu",,Test1,Medium,"IT Factory","23/Sep/23 12:12 AM",FAIL,"| PM-27","22/Sep/23 11:59 PM",,,,,,267b7aaf-b3f9-4e1e-a9e9-321a0b767a7b,1,"The user is logged on the website following the steps from test PM-17 and he clicks on Promotii section",,"The Promoții section can be accessed and a drop-down list appears like in the screenshot attached",PASS,,
07e5b500-9d01-429f-9e41-7d27a9181e11,PM-8,,PM-22,"Verify that the Promoții section is accessible and user-friendly for individuals with disabilities or those using assistive technologies - Screen Reader","Pavelina Mutu",,Test1,Medium,"IT Factory","23/Sep/23 12:12 AM",FAIL,"| PM-27","22/Sep/23 11:59 PM",,,,,,6b40b386-5d88-4965-bcc0-64a1186fcc4a,2,"In the drop-down section, select Promoții la parfumuri",,"The page  Promoții - Parfumuri appears as in the attached screenshot",PASS,,
07e5b500-9d01-429f-9e41-7d27a9181e11,PM-8,,PM-22,"Verify that the Promoții section is accessible and user-friendly for individuals with disabilities or those using assistive technologies - Screen Reader","Pavelina Mutu",,Test1,Medium,"IT Factory","23/Sep/23 12:12 AM",FAIL,"| PM-27","22/Sep/23 11:59 PM",,,,,,76b49dcf-8d94-43dd-92ca-3d8c4f9eabca,3,"Activate the Screen Reader Extension and browse on the page in the different links, tabs",,"The Screen Reader accurately describes the various components of the webpage: titles, numbers, reads texts, points out blank boxes/images.",FAIL,,
29b64d3c-72f3-48e1-862b-27a094f79203,PM-8,,PM-23,"Verify the ability to sort the prices as descending in the Promotii section","Pavelina Mutu",,Test1,Medium,"IT Factory","23/Sep/23 12:19 AM",FAIL,"| PM-28","20/Sep/23 11:43 PM",,,,,,fe0e9b65-71a9-4645-a4c3-528ef56ee7ea,1,"The user is logged on the website following the steps from test PM-17 and he clicks on Promotii section",,"The Promotii section can be accessed and a drop-down list appears like in the screenshot attached",PASS,,
29b64d3c-72f3-48e1-862b-27a094f79203,PM-8,,PM-23,"Verify the ability to sort the prices as descending in the Promotii section","Pavelina Mutu",,Test1,Medium,"IT Factory","23/Sep/23 12:19 AM",FAIL,"| PM-28","20/Sep/23 11:43 PM",,,,,,a600f879-2d3b-4a3b-91b7-4d814177f29e,2,"In the drop-down section, select Promotii la parfumuri",,"The page  Promoții - Parfumuri appears as in the attached screenshot",PASS,,
29b64d3c-72f3-48e1-862b-27a094f79203,PM-8,,PM-23,"Verify the ability to sort the prices as descending in the Promotii section","Pavelina Mutu",,Test1,Medium,"IT Factory","23/Sep/23 12:19 AM",FAIL,"| PM-28","20/Sep/23 11:43 PM",,,,,,72b2de3f-a1de-42db-b011-f5c95a559c6b,3,"Under Promoții - Parfumuri click on Recomandat and from the drop-down list select Preț descrescător",,"Preț descrescător can be selected as a price sorting type and the prices are sorted as descending  (from the most expensive to the cheapest)",FAIL,,
51eca482-d23f-4e59-9b80-678dcc0b1511,PM-8,,PM-19,"Verify if the search results in the Promoții section match the search criteria of the specified brand.","Pavelina Mutu",,Test1,Medium,"IT Factory","23/Sep/23 12:21 AM",PASS,,"20/Sep/23 11:44 PM",,,,,,2e57e8da-5c77-446f-9756-b915f1371f2c,1,"The user is logged on the website following the steps from test PM-17 and he clicks on Promotii section",,"The Promoții section can be accessed and a drop-down list appears like in the screenshot attached",PASS,,
51eca482-d23f-4e59-9b80-678dcc0b1511,PM-8,,PM-19,"Verify if the search results in the Promoții section match the search criteria of the specified brand.","Pavelina Mutu",,Test1,Medium,"IT Factory","23/Sep/23 12:21 AM",PASS,,"20/Sep/23 11:44 PM",,,,,,442c70a9-8b69-459c-9928-41903d8a6a2f,2,"In the drop-down section, select Promoții la parfumuri",,"The page  Promoții - Parfumuri appears as in the attached screenshot",PASS,,
51eca482-d23f-4e59-9b80-678dcc0b1511,PM-8,,PM-19,"Verify if the search results in the Promoții section match the search criteria of the specified brand.","Pavelina Mutu",,Test1,Medium,"IT Factory","23/Sep/23 12:21 AM",PASS,,"20/Sep/23 11:44 PM",,,,,,d2b20570-d896-4f94-9e8b-d699e853d7ab,3,"On the left side search for BRAND and select A",,"A list with all the brands starting with letter A appears",PASS,,
